bjdongCd,bldCnt,bldNm,block,btmaIncYn,bun,cemaIncYn,crtnDay,demolEndDay,demolExtngDay,demolExtngGbCd,demolExtngGbCdNm,demolStrtDay,etcIncYn,etcYn,fmlyCnt,hhldCnt,himaIncYn,hoCnt,ji,lgmaIncYn,lot,mainPurpsCd,mainPurpsCdNm,mgmPmsrgstPk,nabYn,platGbCd,platPlc,rfmaIncYn,rnum,sigunguCd,splotNm,strctCd,strctCdNm,totArea
10300,3, , ,0,0017,0,20100325, , ,1,철거, ,0,0,0,1,0,0,0001,0, ,01001,단독주택,11110-6591,0,0,서울특별시 종로구 궁정동 17-1번지,0,5,11110, ,11,벽돌구조,206.38
10300,2, , ,0,0017,0,20100325, , ,1,철거, ,0,0,0,1,0,0,0001,0, ,01001,단독주택,11110-6592,0,0,서울특별시 종로구 궁정동 17-1번지,0,6,11110, ,11,벽돌구조,307.44
10300,1, , ,0,0017,0,20100325, , ,1,철거, ,0,0,0,0,0,0,0003,0, ,01001,단독주택,11110-5771,0,0,서울특별시 종로구 궁정동 17-3번지,0,7,11110, ,19,기타조적구조,606.6
10300,1, , ,0,0029,0,20100416,20100510, ,1,철거,20100422,0,0,0,0,0,0,0002,0, ,01000,단독주택,11110-100011853,1,0,서울특별시 종로구 궁정동 29-2번지,0,8,11110, ,51,일반목구조,46.28
10400,1, , ,0,0033,0,20170426,20170520, ,1,철거,20170428,0,0,0,1,0,0,0001,0, ,01000,단독주택,11110-100027768,1,0,서울특별시 종로구 효자동 33-1번지,0,1,11110, ,51,일반목구조,52.89
10400,1, , ,0,0034,0,20100325, , ,1,철거, ,0,0,0,1,0,0,0001,0, ,01001,단독주택,11110-5299,0,0,서울특별시 종로구 효자동 34-1번지,0,2,11110, ,51,일반목구조,41.91
10400,1, , ,0,0038,0,20100325,20020105, ,2,부분철거,20020103,0,0,0,0,0,0,0000,0, ,04499,기타사무소,11110-5164,0,0,서울특별시 종로구 효자동 38번지,0,3,11110, ,21,철근콘크리트구조,10.68
10400,2, , ,0,0038,0,20100325,20020112, ,1,철거,20020109,0,0,0,1,0,0,0000,0, ,01001,단독주택,11110-5168,0,0,서울특별시 종로구 효자동 38번지,0,4,11110, ,51,일반목구조,158.68
10400,1, , ,0,0040,0,20121207,20121207, ,1,철거,20121206,0,0,0,1,0,0,0001,0, ,01000,단독주택,11110-100016740,1,0,서울특별시 종로구 효자동 40-1번지,0,5,11110, ,51,일반목구조,101.22
10400,1, , ,0,0041,0,20100325,20030727, ,1,철거,20030724,0,0,0,0,0,0,0000,0, ,01001,단독주택,11110-5845,0,0,서울특별시 종로구 효자동 41번지,0,6,11110, ,51,일반목구조,85.95
10400,1, , ,0,0043,0,20101013,20101031, ,1,철거,20101019,0,0,0,1,0,0,0000,0, ,01000,단독주택,11110-100012637,0,0,서울특별시 종로구 효자동 43번지,0,7,11110, , , ,36.36
10400,0, , ,0,0045,0,20100325,20080816, ,1,철거,20080811,0,0,0,0,0,0,0000,0, ,01000,단독주택,11110-100006385,1,0,서울특별시 종로구 효자동 45번지,0,8,11110, ,51,일반목구조,0
10400,0, , ,0,0045,0,20100325,20080816, ,1,철거,20080811,0,0,0,0,0,0,0000,0, ,01000,단독주택,11110-100006386,1,0,서울특별시 종로구 효자동 45번지,0,9,11110, ,11,벽돌구조,0
10400,1, , ,0,0050,0,20141001,20141005, ,1,철거,20140925,0,0,0,0,0,0,0003,0, ,01000,단독주택,11110-100020791,1,0,서울특별시 종로구 효자동 50-3번지,0,10,11110, ,21,철근콘크리트구조,240.12
10500,1, , ,0,0000,0,20100325,20021012,20021012,1,철거,20021011,0,0,0,0,0,0,0000,0, ,01001,단독주택,11110-5565,0,0,서울특별시 종로구 창성동,0,1,11110, ,51,일반목구조,33.06
10500,1, , ,0,0017,0,20100325, , ,1,철거, ,0,0,0,0,0,0,0001,0, ,01001,단독주택,11110-5989,0,0,서울특별시 종로구 창성동 17-1번지,0,2,11110, ,21,철근콘크리트구조,401.12
10500,1, , ,0,0021,0,20100325, , ,1,철거, ,0,0,0,1,0,0,0007,0, ,01001,단독주택,11110-5300,0,0,서울특별시 종로구 창성동 21-7번지,0,3,11110, ,51,일반목구조,69.42
10500,1, , ,0,0021,0,20100325,20080230, ,1,철거,20080219,0,0,0,0,0,0,0010,0, ,01000,단독주택,11110-100004167,1,0,서울특별시 종로구 창성동 21-10번지,0,4,11110, ,51,일반목구조,70.08
10500,1, , ,0,0094,0,20170929,20171013, ,1,철거,20170925,0,0,0,1,0,0,0014,0, ,01000,단독주택,11110-100029034,1,0,서울특별시 종로구 창성동 94-14번지,0,5,11110, ,51,일반목구조,52.89
10500,1, , ,0,0094,0,20100325,20080304, ,1,철거,20080228,0,0,0,0,0,0,0018,0, ,01000,단독주택,11110-100004207,1,0,서울특별시 종로구 창성동 94-18번지,0,6,11110, ,51,일반목구조,42.98
10500,1, , ,0,0098,0,20100325, , ,1,철거, ,0,0,0,1,0,0,0019,0, ,03001,소매점,11110-5019,0,0,서울특별시 종로구 창성동 98-19번지,0,7,11110, ,51,일반목구조,72.73
10500,2, , ,0,0108,0,20100325,20070222, ,1,철거,20070220,0,0,0,0,0,0,0003,0, ,01001,단독주택,11110-6640,0,0,서울특별시 종로구 창성동 108-3번지,0,8,11110, ,51,일반목구조,102.32
10500,1, , ,0,0108,0,20100325,20080731, ,1,철거,20080729,0,0,0,0,0,0,0012,0, ,01000,단독주택,11110-100006188,0,0,서울특별시 종로구 창성동 108-12번지,0,9,11110, ,51,일반목구조,119.01
10500,1, , ,0,0109,0,20100325, ,20080421,3,멸실, ,0,0,0,1,0,0,0002,0, ,01000,단독주택,11110-100004853,0,0,서울특별시 종로구 창성동 109-2번지,0,10,11110, ,51,일반목구조,29.75
10600,1, , ,0,0002,0,20100325,20100309, ,1,철거,20100305,0,0,0,0,0,0,0001,0, ,01000,단독주택,11110-100011566,0,0,서울특별시 종로구 통의동 2-1번지,0,1,11110, ,51,일반목구조,72.73
10600,1, , ,0,0002,0,20130327,20130330, ,1,철거,20130328,0,0,0,1,0,0,0001,0, ,01000,단독주택,11110-100017287,1,0,서울특별시 종로구 통의동 2-1번지,0,2,11110, ,19,기타조적구조,102.48
10600,2, , ,0,0006,0,20100325, , ,1,철거, ,0,0,0,1,0,0,0000,0, ,01001,단독주택,11110-5369,0,0,서울특별시 종로구 통의동 6번지,0,3,11110, ,51,일반목구조,176.86
10600,1, , ,0,0007,0,20100325,20021115, ,1,철거,20021115,0,0,0,1,0,0,0005,0, ,01001,단독주택,11110-5611,0,0,서울특별시 종로구 통의동 7-5번지,0,4,11110, ,51,일반목구조,39.67
10600,1, , ,0,0007,0,20100325,20021115, ,1,철거,20021115,0,0,0,1,0,0,0009,0, ,01001,단독주택,11110-5610,0,0,서울특별시 종로구 통의동 7-9번지,0,5,11110, ,51,일반목구조,66.12
10600,1, , ,0,0007,0,20100325, , ,1,철거, ,0,0,0,0,0,0,0013,0, ,01000,단독주택,11110-6432,0,0,서울특별시 종로구 통의동 7-13번지,0,6,11110, ,51,일반목구조,66
10600,1, , ,0,0007,0,20180823,20180830, ,1,철거,20180827,0,0,0,0,0,0,0016,0, ,01000,단독주택,11110-100031357,1,0,서울특별시 종로구 통의동 7-16번지,0,7,11110, ,51,일반목구조,39.67
10600,1, , ,0,0007,0,20180329,20180409, ,1,철거,20180402,0,0,0,0,0,0,0021,0, ,01000,단독주택,11110-100030245,1,0,서울특별시 종로구 통의동 7-21번지,0,8,11110, ,51,일반목구조,24.79
10600,1, , ,0,0007,0,20160827,20160930, ,1,철거,20160901,0,0,0,0,0,0,0033,0, ,04000,제2종근린생활시설,11110-100026134,1,0,서울특별시 종로구 통의동 7-33번지,0,9,11110, ,21,철근콘크리트구조,354.89
10600,1, , ,0,0007,0,20100325, , ,1,철거, ,0,0,0,0,0,0,0037,0, ,01001,단독주택,11110-6670,0,0,서울특별시 종로구 통의동 7-37번지,0,10,11110, ,19,기타조적구조,168.07
10700,1, , ,0,0001,0,20100325,20050625, ,1,철거,20050610,0,0,0,0,0,0,0000,0, ,03000,제1종근린생활시설,11110-6363,0,0,서울특별시 종로구 적선동 1번지,0,1,11110, ,51,일반목구조,130
10700,2, , ,0,0019,0,20150131,20150227, ,1,철거,20150203,0,0,0,0,0,0,0000,0, ,03000,제1종근린생활시설,11110-100021997,0,0,서울특별시 종로구 적선동 19번지,1,2,11110, ,11,벽돌구조,228.47
10700,0, , ,0,0023,0,20110422,20110427, ,2,부분철거,20110427,0,0,0,1,0,0,0000,0, ,01000,단독주택,11110-100013739,1,0,서울특별시 종로구 적선동 23번지,0,3,11110, ,21,철근콘크리트구조,5.79
10700,1, , ,0,0093,0,20100325, , ,1,철거, ,0,0,0,0,0,0,0002,0, ,Z3000, ,11110-6217,0,0,서울특별시 종로구 적선동 93-2번지,0,4,11110, ,51,일반목구조,56
10700,1, , ,0,0094,0,20100325,20050520, ,1,철거,20050511,0,0,0,1,0,0,0000,0, ,Z3999, ,11110-6349,0,0,서울특별시 종로구 적선동 94번지,0,5,11110, ,51,일반목구조,152.06
